id;id_ocorrencia;id_g;data_atribuicao;data_finalizacao
1;22391;6569;2024-09-17T19:54:38;2024-09-17T21:49:43
2;3176;26951;2024-09-17T10:42:31;2024-09-17T09:21:10
3;31471;24173;2024-09-17T05:17:04;2024-09-17T21:18:26
4;8480;28750;2024-09-17T10:59:19;2024-09-17T14:31:24
5;10496;4561;2024-09-17T20:23:18;2024-09-17T04:55:38
6;1661;25847;2024-09-17T22:02:10;2024-09-17T22:39:30
7;27465;16619;2024-09-17T10:27:39;2024-09-17T15:23:11
8;13119;14930;2024-09-17T03:41:00;2024-09-17T21:26:10
9;6732;22780;2024-09-17T20:49:05;2024-09-17T09:24:27
10;32078;19373;2024-09-17T10:09:07;2024-09-17T11:15:57
