id;id_solicitante;id_departamento;data_criacao;data_resolucao;titulo;descricao;imagem;situacao;complexidade;protocolo
1;15845;309;2024-09-17T04:53:35;2024-09-17T20:02:04;where;incidentally yum meanwhile;thrill;that snive;3;furiously ci
2;1486;8234;2024-09-17T21:47:45;2024-09-17T19:53:19;subtend representative;footage help;meh so;inwardly;1;yum displeas
3;11800;11730;2024-09-17T08:30:29;2024-09-17T15:32:19;usually;phooey eek adjective;gah;mid-course;8;expert rudel
4;13532;15826;2024-09-17T20:10:00;2024-09-17T11:18:02;imperturbable pilgrim growing;incidentally whose;shiny yowza;than;9;sans ripple 
5;26431;6104;2024-09-17T14:21:41;2024-09-17T08:22:13;alongside but;authorized;ha;upon final;3;revival
6;8461;2839;2024-09-17T08:32:05;2024-09-17T12:38:35;knottily;below;however composed;hungry;9;likewise opp
7;30350;22993;2024-09-17T23:01:53;2024-09-17T06:51:52;underneath smoothly imperfect;scent;silver unfit;aha guest ;9;gadzooks
8;25919;24678;2024-09-18T01:18:36;2024-09-17T20:15:59;beneath from maximise;commerce mmm mumble;babysit if;fully frag;3;tangible pal
9;29466;30360;2024-09-17T19:04:42;2024-09-17T04:11:35;tic berth eek;worst finally;as;quirkily;8;whether adul
10;5935;3050;2024-09-17T05:45:38;2024-09-17T13:19:38;ecstatic;gain;embellish quirky;coaxingly ;9;even arrogan
